===== wnba_2011_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Sylvia Fowles*,CHI,C,34,1175,34,34,1175,263,445,",591",0,0,0,263,445,",591",154,201,",766",100,347,22,41,68,96,85,680
Tiffany Jackson-Jones,TUL,F,34,1152,34,32,1152,151,331,",456",0,1,",000",151,330,",458",121,156,",776",100,286,68,40,21,95,94,423
Cappie Pondexter,NYL,G,34,1151,34,34,1151,212,528,",402",58,168,",345",154,360,",428",109,134,",813",22,139,160,43,10,93,69,591
Tina Charles,CON,C,34,1136,34,34,1136,254,543,",468",0,3,",000",254,540,",470",92,134,",687",126,374,63,26,60,75,89,600
Swin Cash*,SEA,F,34,1128,34,34,1128,151,381,",396",35,123,",285",116,258,",450",115,136,",846",52,234,81,32,21,94,100,452
Sue Bird*,SEA,G,34,1123,34,34,1123,183,408,",449",71,166,",428",112,242,",463",63,72,",875",14,99,165,48,6,80,43,500
Candice Dupree,PHO,F,34,1075,34,34,1075,198,361,",548",1,6,",167",197,355,",555",98,115,",852",86,279,61,19,25,67,74,495
Matee Ajavon,WAS,G,34,1065,34,33,1065,174,445,",391",37,134,",276",137,311,",441",116,140,",829",30,80,105,57,9,105,109,501
Crystal Langhorne,WAS,F-C,31,1063,31,31,1063,227,425,",534",1,8,",125",226,417,",542",108,152,",711",96,235,51,39,15,102,72,563
Becky Hammon*,SAS,G,33,1050,33,33,1050,176,400,",440",75,193,",389",101,207,",488",99,111,",892",5,96,192,49,7,119,51,526
Sophia Young-Malcolm,SAS,F,33,1043,33,33,1043,171,399,",429",0,6,",000",171,393,",435",93,157,",592",48,212,76,67,16,51,78,435
Tamika Catchings*,IND,F,33,1040,33,33,1040,168,384,",438",32,92,",348",136,292,",466",143,162,",883",63,233,115,67,30,73,69,511
Lindsey Harding,ATL,G,34,1037,34,33,1037,141,310,",455",10,33,",303",131,277,",473",66,90,",733",17,109,162,34,6,81,60,358
Epiphanny Prince,CHI,G,34,1001,34,27,1001,162,432,",375",50,134,",373",112,298,",376",90,112,",804",23,71,102,79,13,57,76,464
Seimone Augustus*,MIN,G-F,34,997,34,34,997,231,458,",504",25,60,",417",206,398,",518",64,74,",865",19,120,75,30,15,45,41,551
Renee Montgomery,CON,G,34,991,34,34,991,154,385,",400",61,159,",384",93,226,",412",126,152,",829",12,73,167,49,3,89,46,495
Asjha Jones,CON,F,34,971,34,34,971,198,446,",444",3,10,",300",195,436,",447",54,76,",711",64,217,64,21,16,64,102,453
Taj McWilliams-Franklin,MIN,F-C,34,966,34,33,966,116,261,",444",2,9,",222",114,252,",452",47,61,",770",74,205,81,35,24,53,81,281
Diana Taurasi,PHO,G,32,965,32,32,965,208,463,",449",81,205,",395",127,258,",492",195,216,",903",13,101,114,24,20,96,113,692
Lindsay Whalen*,MIN,G,34,956,34,34,956,179,350,",511",17,42,",405",162,308,",526",89,122,",730",30,119,199,37,5,75,64,464
Kia Vaughn,NYL,C,34,955,34,34,955,149,300,",497",0,0,0,149,300,",497",44,56,",786",96,227,39,40,25,61,97,342
Tanisha Wright,SEA,G,33,953,33,32,953,118,240,",492",18,49,",367",100,191,",524",78,87,",897",25,106,97,40,1,90,97,332
Maya Moore*,MIN,F,34,951,34,34,951,164,374,",439",58,157,",369",106,217,",488",63,80,",788",57,157,90,48,16,50,92,449
Plenette Pierson,NYL,F,33,945,33,33,945,173,362,",478",2,10,",200",171,352,",486",79,98,",806",62,172,45,38,30,62,89,427
Kelly Miller,WAS,G,34,943,34,29,943,86,225,",382",49,111,",441",37,114,",325",30,38,",789",22,78,95,23,8,61,70,251
Katie Douglas,IND,G-F,32,940,32,32,940,166,357,",465",66,150,",440",100,207,",483",47,70,",671",31,126,91,41,8,65,48,445
Rebekkah Brunson,MIN,F,34,938,34,34,938,137,268,",511",0,0,0,137,268,",511",74,111,",667",96,301,40,28,18,51,72,348
Nicole Powell,NYL,F,33,935,33,33,935,118,288,",410",54,153,",353",64,135,",474",29,32,",906",32,140,76,45,10,65,74,319
Nicky Anosike,WAS,F-C,34,924,34,29,924,75,216,",347",0,1,",000",75,215,",349",89,121,",736",83,245,47,49,28,59,87,239
Angel McCoughtry,ATL,F-G,33,921,33,30,921,235,554,",424",19,72,",264",216,482,",448",223,287,",777",53,173,84,72,32,104,99,712
Marissa Coleman,WAS,G-F,34,918,34,28,918,107,278,",385",53,144,",368",54,134,",403",25,37,",676",46,164,47,24,14,54,80,292
DeLisha Milton-Jones,LAS,F,34,891,34,34,891,154,333,",462",25,71,",352",129,262,",492",64,77,",831",55,158,67,32,12,83,99,397
Camille Smith,SEA,F,33,887,33,33,887,129,278,",464",5,22,",227",124,256,",484",55,83,",663",46,171,54,45,22,75,110,318
Sheryl Swoopes*,TUL,F-G,33,879,33,28,879,101,254,",398",29,91,",319",72,163,",442",40,46,",870",21,136,76,25,9,45,47,271
Erika de Souza,ATL,F-C,32,877,32,32,877,171,343,",499",0,1,",000",171,342,",500",36,55,",655",83,240,31,38,43,57,94,378
Leilani Mitchell,NYL,G,34,864,34,30,864,69,184,",375",43,118,",364",26,66,",394",8,10,",800",17,73,100,44,3,43,77,189
Penny Taylor,PHO,F,29,864,29,29,864,164,321,",511",45,112,",402",119,209,",569",111,127,",874",28,141,135,49,11,65,67,484
DeWanna Bonner,PHO,G-F,34,857,34,5,857,120,279,",430",35,102,",343",85,177,",480",90,99,",909",62,238,27,34,36,34,61,365
Katie Smith*,SEA,G,34,853,34,3,853,88,223,",395",49,124,",395",39,99,",394",30,35,",857",17,79,68,24,5,45,66,255
Jia Perkins,SAS,G,34,852,34,8,852,154,368,",418",40,128,",313",114,240,",475",60,71,",845",22,118,47,44,9,35,48,408
Tina Thompson*,LAS,F,34,851,34,33,851,120,311,",386",43,127,",339",77,184,",418",55,66,",833",50,156,38,39,23,68,74,338
Kara Lawson,CON,G,33,832,33,8,832,111,247,",449",55,128,",430",56,119,",471",65,73,",890",12,87,96,23,1,46,36,342
Michelle Snow,CHI,C,34,821,34,30,821,82,180,",456",0,2,",000",82,178,",461",38,50,",760",39,213,64,16,44,70,84,202
Ticha Penicheiro,LAS,G,34,807,34,23,807,72,148,",486",15,36,",417",57,112,",509",46,53,",868",7,94,162,28,3,71,48,205
Armintie Herrington,ATL,G,34,797,34,21,797,108,208,",519",0,2,",000",108,206,",524",73,120,",608",51,101,96,52,2,49,61,289
Tamera Young,CHI,F,33,792,33,19,792,102,240,",425",1,7,",143",101,233,",433",55,76,",724",41,124,43,37,9,62,98,260
Danielle Robinson,SAS,G,34,786,34,9,786,98,213,",460",0,1,",000",98,212,",462",84,93,",903",24,79,132,28,4,60,76,280
