===== wnba_2007_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tina Thompson*,HOU,F,34,1234,34,34,1234,208,495,",420",52,130,",400",156,365,",427",171,205,",834",65,229,94,29,23,112,62,639
Deanna Nolan,DET,G-F,34,1175,34,34,1175,221,480,",460",46,117,",393",175,363,",482",65,79,",823",35,148,132,49,12,82,69,553
Alana Beard,WAS,G-F,33,1169,33,33,1169,224,539,",416",47,146,",322",177,393,",450",127,150,",847",25,139,99,64,24,94,105,622
Katie Smith*,DET,G,34,1166,34,34,1166,128,355,",361",61,196,",311",67,159,",421",133,157,",847",18,128,124,42,3,59,81,450
Loree Moore,NYL,G,34,1163,34,33,1163,119,289,",412",55,135,",407",64,154,",416",34,58,",586",40,138,163,75,5,99,93,327
DeLisha Milton-Jones,WAS,F,34,1141,34,34,1141,165,473,",349",28,119,",235",137,354,",387",98,116,",845",45,217,55,52,38,121,107,456
Katie Douglas,CON,G-F,34,1133,34,34,1133,207,484,",428",68,201,",338",139,283,",491",95,122,",779",49,158,125,65,10,95,67,577
Sophia Young-Malcolm,SAS,F,33,1106,33,33,1106,214,448,",478",0,5,",000",214,443,",483",125,167,",749",72,193,51,49,12,61,100,553
Seimone Augustus*,MIN,G-F,34,1093,34,34,1093,296,583,",508",26,62,",419",270,521,",518",151,173,",873",37,136,79,41,21,83,58,769
Candice Dupree,CHI,F,33,1078,33,33,1078,210,471,",446",0,5,",000",210,466,",451",124,160,",775",79,254,46,29,41,81,82,544
Tangela Smith,PHO,C,34,1072,34,34,1072,165,399,",414",20,61,",328",145,338,",429",78,99,",788",54,220,44,40,56,56,101,428
Shameka Christon,NYL,G,33,1065,33,32,1065,118,328,",360",39,119,",328",79,209,",378",93,117,",795",34,149,70,34,19,82,99,368
Kelly Miller,PHO,G,34,1040,34,34,1040,115,240,",479",27,70,",386",88,170,",518",64,82,",780",47,168,156,42,5,86,94,321
Lindsay Whalen*,CON,G,34,1040,34,34,1040,156,333,",468",18,86,",209",138,247,",559",124,158,",785",33,162,169,73,3,75,85,454
Diana Taurasi,PHO,G,32,1025,32,32,1025,206,468,",440",95,259,",367",111,209,",531",106,127,",835",18,135,137,45,34,84,106,613
Lauren Jackson*,SEA,F-C,31,1020,31,31,1020,258,497,",519",49,122,",402",209,375,",557",174,197,",883",80,300,40,31,63,56,93,739
Penny Taylor,PHO,F,34,1010,34,34,1010,198,397,",499",34,90,",378",164,307,",534",175,198,",884",73,214,98,51,22,77,120,605
Hamchetou Maiga-Ba,HOU,F,34,1008,34,34,1008,122,269,",454",1,5,",200",121,264,",458",65,78,",833",39,137,77,57,3,70,113,310
Nakia Sanford,WAS,C-F,34,994,34,31,994,123,232,",530",0,0,0,123,232,",530",129,194,",665",100,242,23,27,28,88,141,375
Nicole Powell,SAC,F,34,986,34,34,986,147,391,",376",62,163,",380",85,228,",373",80,83,",964",65,191,58,48,12,64,63,436
Cathrine Kraayeveld,NYL,F,34,967,34,34,967,129,298,",433",53,129,",411",76,169,",450",55,70,",786",38,154,51,32,20,84,84,366
Cappie Pondexter,PHO,G,31,966,31,31,966,193,448,",431",36,108,",333",157,340,",462",110,135,",815",15,112,123,29,8,69,59,532
Iziane Castro Marques,SEA,F-G,34,963,34,34,963,139,331,",420",60,156,",385",79,175,",451",81,101,",802",19,96,95,35,4,64,70,419
Swin Cash*,DET,F,31,959,31,31,959,126,307,",410",0,3,",000",126,304,",414",92,121,",760",54,189,79,19,13,81,70,344
Asjha Jones,CON,F,30,942,30,30,942,193,430,",449",1,12,",083",192,418,",459",72,94,",766",65,183,75,25,23,91,90,459
Betty Lennox,SEA,G,34,937,34,34,937,155,362,",428",34,99,",343",121,263,",460",110,121,",909",47,160,92,36,5,91,75,454
Chasity Melvin,TOT,C-F,32,935,32,28,935,118,259,",456",1,7,",143",117,252,",464",85,129,",659",73,213,37,38,22,71,101,322
Becky Hammon*,SAS,G,28,934,28,27,934,179,402,",445",74,183,",404",105,219,",479",95,102,",931",8,77,140,23,5,114,51,527
Rebekkah Brunson,SAC,F,33,932,33,29,932,141,298,",473",0,4,",000",141,294,",480",96,140,",686",130,295,24,44,31,58,78,378
