===== wnba_2006_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Diana Taurasi,PHO,G,34,1152,34,34,1152,298,660,",452",121,305,",397",177,355,",499",143,183,",781",25,122,139,42,27,79,100,860
Katie Smith*,DET,G,34,1140,34,34,1140,123,302,",407",59,161,",366",64,141,",454",93,102,",912",19,92,112,25,4,65,78,398
Seimone Augustus*,MIN,G-F,34,1127,34,34,1127,283,620,",456",30,85,",353",253,535,",473",148,165,",897",15,128,50,21,18,71,58,744
Sheryl Swoopes*,HOU,F-G,31,1111,31,31,1111,180,436,",413",25,90,",278",155,346,",448",97,127,",764",34,183,115,64,9,74,46,482
Deanna Nolan,DET,G-F,34,1090,34,34,1090,172,425,",405",39,113,",345",133,312,",426",85,100,",850",32,153,124,47,11,86,79,468
Tamika Catchings*,IND,F,32,1072,32,32,1072,162,398,",407",32,107,",299",130,291,",447",165,204,",809",68,240,119,94,35,79,90,521
Cappie Pondexter,PHO,G,32,1067,32,32,1067,219,495,",442",47,126,",373",172,369,",466",139,163,",853",37,107,98,37,4,45,84,624
Sue Bird*,SEA,G,34,1066,34,34,1066,137,333,",411",56,153,",366",81,180,",450",59,68,",868",24,102,162,61,5,88,60,389
Tamika Whitmore,IND,F,34,1058,34,34,1058,199,435,",457",15,38,",395",184,397,",463",115,140,",821",53,165,61,46,12,94,91,528
Sophia Young-Malcolm,SAS,F,34,1057,34,34,1057,154,370,",416",0,4,",000",154,366,",421",100,137,",730",85,257,50,57,13,45,70,408
Lisa Leslie*,LAS,C,34,1048,34,34,1048,257,503,",511",8,20,",400",249,483,",516",158,243,",650",83,323,108,51,57,126,115,680
Candice Dupree,CHI,F,34,1034,34,31,1034,186,407,",457",0,5,",000",186,402,",463",95,122,",779",55,188,60,43,25,60,72,467
Dawn Staley*,HOU,G,34,1024,34,34,1024,84,200,",420",53,124,",427",31,76,",408",29,36,",806",14,75,133,35,5,76,50,250
Tully Bevilaqua,IND,G,34,1011,34,34,1011,76,185,",411",33,106,",311",43,79,",544",38,53,",717",10,77,79,71,1,54,72,223
Vickie Johnson,SAS,G-F,34,1004,34,34,1004,119,317,",375",23,69,",333",96,248,",387",76,90,",844",55,167,122,28,3,59,61,337
Katie Douglas,CON,G-F,32,1003,32,32,1003,179,404,",443",73,173,",422",106,231,",459",94,112,",839",38,121,79,62,4,73,48,525
Chasity Melvin,WAS,C-F,34,1003,34,34,1003,153,294,",520",0,2,",000",153,292,",524",99,151,",656",84,224,45,34,26,62,109,405
Alana Beard,WAS,G-F,32,1000,32,32,1000,232,469,",495",37,102,",363",195,367,",531",113,149,",758",23,149,98,59,25,90,92,614
Anna DeForge,IND,G,34,997,34,34,997,123,313,",393",48,127,",378",75,186,",403",54,66,",818",40,146,76,39,9,55,58,348
Taj McWilliams-Franklin,CON,F-C,32,996,32,32,996,164,329,",498",1,8,",125",163,321,",508",81,110,",736",104,306,80,35,31,78,75,410
Michelle Snow,HOU,C,34,994,34,34,994,178,349,",510",0,0,0,178,349,",510",86,129,",667",78,269,47,33,38,88,121,442
Swin Cash*,DET,F,34,991,34,34,991,124,323,",384",1,13,",077",123,310,",397",109,143,",762",63,168,106,20,11,88,85,358
Sheri Sam,CHA,G-F,34,989,34,34,989,137,343,",399",21,78,",269",116,265,",438",64,102,",627",53,172,90,55,3,73,78,359
Shameka Christon,NYL,G,34,987,34,34,987,136,348,",391",52,156,",333",84,192,",438",99,120,",825",29,120,44,20,42,81,105,423
Nikki Teasley,WAS,G,34,980,34,34,980,118,318,",371",52,151,",344",66,167,",395",76,92,",826",13,89,183,44,11,77,81,364
Tangela Smith,CHA,C,34,971,34,34,971,178,423,",421",31,85,",365",147,338,",435",58,78,",744",48,180,50,41,29,70,100,445
Loree Moore,NYL,G,34,952,34,29,952,68,201,",338",35,96,",365",33,105,",314",37,51,",725",31,144,122,61,10,64,89,208
Barbara Farris,NYL,F-C,34,944,34,34,944,95,221,",430",0,3,",000",95,218,",436",71,98,",724",56,178,51,21,5,65,105,261
Cheryl Ford,DET,F,32,919,32,32,919,157,315,",498",0,0,0,157,315,",498",129,199,",648",130,363,45,38,25,58,114,443
Kristen Rasmussen,PHO,F,34,908,34,32,908,64,125,",512",6,14,",429",58,111,",523",12,20,",600",72,208,72,28,27,33,98,146
Cathrine Kraayeveld,NYL,F,34,903,34,13,903,106,239,",444",31,93,",333",75,146,",514",55,72,",764",46,158,32,16,15,62,71,298
Kristen Mann,MIN,F,33,893,33,33,893,92,238,",387",36,96,",375",56,142,",394",25,34,",735",23,113,94,19,7,50,71,245
Nicole Powell,SAC,F,34,891,34,34,891,116,309,",375",55,156,",353",61,153,",399",40,49,",816",25,131,61,42,15,47,82,327
Nakia Sanford,WAS,C-F,34,888,34,19,888,112,216,",519",0,0,0,112,216,",519",77,125,",616",69,203,36,28,21,72,118,301
Betty Lennox,SEA,G,34,887,34,34,887,191,423,",452",29,90,",322",162,333,",486",54,71,",761",34,137,73,36,5,98,92,465
Ruth Riley,DET,C,34,876,34,34,876,115,252,",456",3,9,",333",112,243,",461",16,18,",889",36,165,52,18,49,54,110,249
Shannon Johnson,SAS,G,32,875,32,32,875,104,256,",406",32,91,",352",72,165,",436",78,97,",804",31,95,117,60,5,75,78,318
Nicole Ohlde,MIN,F-C,34,872,34,34,872,120,265,",453",0,1,",000",120,264,",455",87,131,",664",61,190,54,20,25,74,99,327
Lindsay Whalen*,CON,G,33,861,33,33,861,88,226,",389",8,62,",129",80,164,",488",112,124,",903",17,122,153,34,2,79,56,296
Amber Jacobs,MIN,G,34,860,34,34,860,96,214,",449",40,102,",392",56,112,",500",47,57,",825",17,90,115,26,2,90,71,279
Ebony Hoffman,IND,F,34,854,34,33,854,82,208,",394",0,8,",000",82,200,",410",54,70,",771",73,193,46,37,16,73,104,218
Lauren Jackson*,SEA,F-C,30,853,30,30,853,192,359,",535",29,77,",377",163,282,",578",170,189,",899",68,227,48,24,51,40,90,583
Yolanda Griffith*,SAC,C-F,34,852,34,34,852,134,293,",457",0,1,",000",134,292,",459",139,185,",751",87,219,56,44,16,66,74,407
Monique Currie,CHA,F,34,849,34,33,849,87,262,",332",16,55,",291",71,207,",343",149,184,",810",51,132,87,34,4,62,100,339
Ticha Penicheiro,SAC,G,34,848,34,34,848,58,171,",339",6,31,",194",52,140,",371",61,77,",792",10,91,116,58,2,67,56,183
Jia Perkins,CHI,G,30,839,30,27,839,105,299,",351",18,65,",277",87,234,",372",54,67,",806",33,107,97,43,13,56,72,282
Kelly Miller,PHO,G,27,814,27,24,814,109,259,",421",30,79,",380",79,180,",439",48,62,",774",41,144,94,28,6,73,74,296
Temeka Johnson,LAS,G,32,810,32,30,810,102,254,",402",3,26,",115",99,228,",434",48,60,",800",15,97,161,47,1,70,57,255
