===== wnba_1998_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Ticha Penicheiro,SAC,G,30,1080,30,30,1080,55,165,",333",10,43,",233",45,122,",369",70,109,",642",13,141,224,67,3,116,90,190
Cynthia Cooper*,HOU,G,30,1051,30,30,1051,203,455,",446",64,160,",400",139,295,",471",210,246,",854",25,110,131,48,11,95,65,680
Andrea Stinson,CHA,G,30,1046,30,30,1046,173,414,",418",29,103,",282",144,311,",463",75,100,",750",29,138,134,54,15,77,72,450
Teresa Weatherspoon*,NYL,G,30,1002,30,30,1002,73,188,",388",16,49,",327",57,139,",410",42,69,",609",20,120,191,100,0,96,85,204
Sandy Brondello,DET,G,30,993,30,28,993,157,367,",428",16,44,",364",141,323,",437",96,104,",923",18,87,98,38,1,64,58,426
Kim Perrot,HOU,G,30,986,30,30,986,88,218,",404",29,108,",269",59,110,",536",49,70,",700",17,92,142,84,0,82,70,254
Eva Nemcova,CLE,F,30,972,30,30,972,131,281,",466",28,62,",452",103,219,",470",67,75,",893",28,111,67,33,21,64,77,357
Nikki McCray,WAS,G,29,969,29,28,969,191,457,",418",23,73,",315",168,384,",438",107,143,",748",34,85,90,43,2,125,81,512
Tracy Reid,CHA,F,30,966,30,30,966,151,310,",487",0,2,",000",151,308,",490",111,181,",613",60,157,46,40,12,71,59,413
Cindy Brown,DET,F,30,965,30,30,965,126,268,",470",20,61,",328",106,207,",512",82,116,",707",70,301,53,51,22,67,105,354
Jennifer Gillom,PHO,F-C,30,962,30,30,962,229,493,",465",31,82,",378",198,411,",482",137,195,",703",62,219,42,50,10,89,94,626
Murriel Page,WAS,F,30,955,30,30,955,104,217,",479",0,2,",000",104,215,",484",41,65,",631",81,208,40,19,13,57,97,249
Vicky Bullett,CHA,F,30,947,30,30,947,162,367,",441",4,26,",154",158,341,",463",71,86,",826",62,194,46,66,46,64,88,399
Penny Toler,LAS,G,30,945,30,30,945,145,349,",415",25,60,",417",120,289,",415",55,74,",743",37,106,143,32,3,101,77,370
Sheryl Swoopes*,HOU,F-G,29,937,29,29,937,173,405,",427",36,100,",360",137,305,",449",71,86,",826",39,149,62,72,14,58,42,453
Michele Timms*,PHO,G,30,934,30,30,934,71,223,",318",31,104,",298",40,119,",336",34,49,",694",18,74,158,38,4,69,76,207
Korie Hlede,DET,G,27,912,27,27,912,135,345,",391",29,74,",392",106,271,",391",83,103,",806",39,141,73,21,1,88,66,382
Vickie Johnson,NYL,G-F,30,905,30,30,905,146,327,",446",21,56,",375",125,271,",461",63,82,",768",44,114,74,31,7,45,70,376
Lisa Leslie*,LAS,C,28,898,28,28,898,202,423,",478",9,23,",391",193,400,",483",136,177,",768",77,285,70,42,60,102,121,549
Sophia Witherspoon,NYL,G,30,898,30,30,898,144,359,",401",33,96,",344",111,263,",422",92,117,",786",33,91,57,40,4,73,54,413
Suzie McConnell Serio,CLE,G,28,882,28,28,882,80,176,",455",29,71,",408",51,105,",486",51,70,",729",8,62,178,49,5,104,48,240
Rebecca Lobo*,NYL,C,30,875,30,30,875,136,281,",484",12,39,",308",124,242,",512",66,93,",710",70,207,44,17,33,67,98,350
Tina Thompson*,HOU,F,27,874,27,27,874,121,289,",419",37,103,",359",84,186,",452",63,74,",851",65,192,24,31,25,47,89,342
Bridget Pettis,PHO,G,30,849,30,28,849,113,300,",377",35,123,",285",78,177,",441",77,89,",865",34,103,62,29,9,62,75,338
Umeki Webb,PHO,G-F,30,846,30,30,846,58,160,",363",4,14,",286",54,146,",370",39,59,",661",47,116,92,47,21,41,105,159
Janice Braxton,CLE,F,30,840,30,30,840,108,218,",495",2,6,",333",106,212,",500",77,102,",755",37,168,74,51,15,67,77,295
Margo Dydek,UTA,C,30,839,30,30,839,146,303,",482",1,7,",143",145,296,",490",93,127,",732",41,227,53,14,114,108,126,386
Latasha Byears,SAC,G-F,30,828,30,26,828,181,400,",453",4,18,",222",177,382,",463",61,92,",663",85,197,29,43,13,71,121,427
Carla Boyd,DET,F,30,817,30,24,817,89,260,",342",19,63,",302",70,197,",355",48,76,",632",51,118,68,27,10,52,88,245
Isabelle Fijalkowski,CLE,F-C,28,806,28,23,806,146,267,",547",4,10,",400",142,257,",553",87,106,",821",59,192,58,17,27,81,115,383
Lady Grooms,SAC,F,30,792,30,29,792,75,154,",487",1,6,",167",74,148,",500",63,94,",670",37,80,48,20,3,52,35,214
Michelle Brogan,PHO,F,30,779,30,25,779,93,184,",505",11,23,",478",82,161,",509",78,98,",796",45,133,41,44,5,52,48,275
Wendy Palmer,UTA,F,28,761,28,21,761,145,307,",472",6,17,",353",139,290,",479",81,124,",653",70,186,30,18,5,56,75,377
Penny Moore,WAS,F,29,756,29,26,756,93,271,",343",19,92,",207",74,179,",413",33,46,",717",35,108,46,44,20,61,58,238
