===== wnba_2002_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tamika Catchings*,IND,F,32,1167,32,32,1167,184,438,",420",76,192,",396",108,246,",439",150,184,",815",91,275,118,94,43,82,105,594
Sheryl Swoopes*,HOU,F-G,32,1154,32,32,1154,221,509,",434",23,80,",288",198,429,",462",127,154,",825",30,158,107,88,23,87,50,592
Jennifer Azzi,UTA,G,32,1151,32,32,1151,91,198,",460",41,92,",446",50,106,",472",83,104,",798",15,69,158,27,14,67,102,306
Katie Smith*,MIN,G,31,1138,31,31,1138,162,401,",404",62,188,",330",100,213,",469",126,153,",824",24,92,79,32,7,70,87,512
Sue Bird*,SEA,G,32,1121,32,32,1121,151,375,",403",57,142,",401",94,233,",403",102,112,",911",17,83,191,55,3,109,48,461
Janeth Arcain,HOU,G,32,1116,32,32,1116,128,302,",424",10,37,",270",118,265,",445",98,111,",883",42,126,86,51,6,71,49,364
Shannon Johnson,ORL,G,31,1110,31,31,1110,157,389,",404",21,77,",273",136,312,",436",164,214,",766",49,129,163,51,7,98,78,499
Adrienne Goodson,UTA,F,32,1101,32,32,1101,189,419,",451",8,28,",286",181,391,",463",117,157,",745",91,181,67,45,6,102,92,503
Merlakia Jones,CLE,G,32,1094,32,32,1094,157,393,",399",15,54,",278",142,339,",419",62,79,",785",33,175,72,44,4,55,60,391
Swin Cash*,DET,F,32,1079,32,32,1079,144,353,",408",13,63,",206",131,290,",452",173,227,",762",77,222,86,37,31,100,85,474
Sheri Sam,MIA,G-F,32,1073,32,32,1073,191,440,",434",26,76,",342",165,364,",453",55,89,",618",58,155,83,69,6,71,83,463
Crystal Robinson,NYL,F,32,1068,32,32,1068,126,302,",417",67,181,",370",59,121,",488",59,72,",819",22,91,81,48,12,52,101,378
Marie Ferdinand-Harris,UTA,G,32,1065,32,32,1065,176,371,",474",5,34,",147",171,337,",507",132,171,",772",19,107,91,51,7,89,86,489
Tangela Smith,SAC,C,32,1063,32,32,1063,184,435,",423",15,42,",357",169,393,",430",86,101,",851",56,188,40,27,46,59,126,469
Dawn Staley*,CHA,G,32,1061,32,32,1061,85,232,",366",33,83,",398",52,149,",349",77,101,",762",8,56,164,48,0,80,67,280
Lisa Leslie*,LAS,C,31,1060,31,31,1060,189,406,",466",12,37,",324",177,369,",480",133,183,",727",78,322,83,46,90,108,123,523
