===== wnba_2015_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jantel Lavender,LAS,F,34,1148,34,34,1148,211,402,",525",3,9,",333",208,393,",529",67,76,",882",68,281,62,14,41,72,58,492
Maya Moore*,MIN,F,33,1102,33,33,1102,238,566,",420",69,192,",359",169,374,",452",136,159,",855",62,222,115,56,26,79,94,681
DeWanna Bonner,PHO,G-F,33,1099,33,33,1099,158,418,",378",30,118,",254",128,300,",427",175,202,",866",37,187,110,44,28,60,61,521
Tina Charles,NYL,C,34,1053,34,34,1053,243,531,",458",1,5,",200",242,526,",460",93,130,",715",72,288,83,24,23,82,56,580
Elena Delle Donne,CHI,F-G,31,1032,31,31,1032,238,517,",460",42,134,",313",196,383,",512",207,218,",950",60,260,42,33,63,36,52,725
Candice Dupree,PHO,F,33,1028,33,33,1028,192,375,",512",0,1,",000",192,374,",513",81,101,",802",40,168,55,34,12,48,46,465
Angel McCoughtry,ATL,F-G,34,1021,34,26,1021,235,569,",413",37,102,",363",198,467,",424",178,221,",805",64,180,94,72,18,107,115,685
Courtney Vandersloot,CHI,G,34,1015,34,34,1015,146,315,",463",32,90,",356",114,225,",507",64,71,",901",22,115,198,45,18,71,93,388
Kelsey Bone,CON,C,34,961,34,33,961,224,441,",508",0,3,",000",224,438,",511",61,98,",622",49,208,66,26,19,77,96,509
Rebekkah Brunson,MIN,F,34,945,34,34,945,105,231,",455",1,4,",250",104,227,",458",54,65,",831",87,276,62,37,28,53,72,265
Sophia Young-Malcolm,SAS,F,34,931,34,29,931,151,330,",458",0,3,",000",151,327,",462",90,122,",738",49,170,46,42,9,55,64,392
Ivory Latta,WAS,G,34,927,34,25,927,143,352,",406",79,203,",389",64,149,",430",90,99,",909",8,61,86,23,1,59,65,455
Emma Meesseman,WAS,F,34,924,34,34,924,178,320,",556",6,13,",462",172,307,",560",34,41,",829",60,213,58,31,44,44,96,396
Karima Christmas-Kelly,TUL,F-G,32,919,32,32,919,101,255,",396",32,83,",386",69,172,",401",104,133,",782",72,159,54,34,9,39,59,338
Camille Smith,CON,F,34,918,34,34,918,106,261,",406",39,113,",345",67,148,",453",29,33,",879",46,123,53,42,7,58,91,280
Jasmine Thomas,CON,G,34,907,34,34,907,100,305,",328",31,104,",298",69,201,",343",47,60,",783",19,127,133,41,14,77,74,278
Danielle Robinson,SAS,G,30,902,30,30,902,105,269,",390",0,5,",000",105,264,",398",65,72,",903",14,74,149,22,2,78,36,275
Jewell Loyd,SEA,G,34,882,34,23,882,125,304,",411",10,48,",208",115,256,",449",104,115,",904",33,119,66,19,8,68,53,364
Cappie Pondexter,CHI,G,29,877,29,29,877,163,371,",439",24,63,",381",139,308,",451",84,102,",824",7,110,61,28,6,41,61,434
Lindsay Whalen*,MIN,G,29,874,29,29,874,121,262,",462",6,14,",429",115,248,",464",67,76,",882",16,86,123,12,3,62,55,315
Crystal Langhorne,SEA,F-C,34,873,34,34,873,156,286,",545",0,2,",000",156,284,",549",66,88,",750",39,194,32,37,14,70,63,378
Kristi Toliver,LAS,G,28,864,28,28,864,119,265,",449",43,112,",384",76,153,",497",65,72,",903",10,64,104,23,1,63,47,346
Kiah Stokes,NYL,C,34,862,34,6,862,82,150,",547",0,2,",000",82,148,",554",33,48,",688",60,219,26,24,67,37,76,197
Courtney Paris,TUL,C,34,849,34,34,849,104,214,",486",0,0,0,104,214,",486",17,40,",425",102,317,43,12,41,34,105,225
Plenette Pierson,TUL,F,30,843,30,29,843,152,348,",437",17,47,",362",135,301,",449",63,78,",808",35,122,57,29,12,54,86,384
Marissa Coleman,IND,G-F,34,842,34,34,842,127,331,",384",42,125,",336",85,206,",413",59,79,",747",33,120,54,42,10,63,65,355
Stefanie Dolson,WAS,C,34,841,34,33,841,148,299,",495",10,21,",476",138,278,",496",54,62,",871",48,192,53,16,36,63,98,360
Tiffany Hayes,ATL,G,28,836,28,27,836,115,293,",392",31,113,",274",84,180,",467",99,123,",805",29,84,62,29,11,47,97,360
Erika de Souza,TOT,F-C,34,821,34,32,821,109,231,",472",0,0,0,109,231,",472",23,45,",511",78,221,29,25,28,43,96,241
Riquna Williams,TUL,G,29,813,29,20,813,130,369,",352",56,162,",346",74,207,",357",136,160,",850",16,100,74,43,15,47,78,452
Shenise Johnson,IND,G,31,811,31,27,811,121,259,",467",31,75,",413",90,184,",489",66,82,",805",39,153,74,35,5,56,67,339
Tanisha Wright,NYL,G,34,805,34,34,805,89,212,",420",12,33,",364",77,179,",430",60,71,",845",22,81,119,28,3,73,68,250
Tamika Catchings*,IND,F,30,799,30,30,799,125,327,",382",18,61,",295",107,266,",402",125,144,",868",51,213,67,55,24,50,76,393
Brittney Griner,PHO,C,26,799,26,26,799,147,260,",565",0,0,0,147,260,",565",99,128,",773",43,210,34,8,105,56,71,393
Briann January,IND,G,29,784,29,29,784,81,190,",426",25,58,",431",56,132,",424",49,58,",845",14,52,98,30,6,63,65,236
Nneka Ogwumike,LAS,F,24,784,24,23,784,147,280,",525",1,12,",083",146,268,",545",84,97,",866",48,167,50,25,11,43,57,379
Leilani Mitchell,PHO,G,34,782,34,26,782,80,214,",374",44,111,",396",36,103,",350",24,27,",889",12,72,91,35,4,48,57,228
Sue Bird*,SEA,G,27,773,27,27,773,107,279,",384",25,83,",301",82,196,",418",39,49,",796",5,63,147,24,2,66,32,278
Tierra Ruffin-Pratt,WAS,G,32,765,32,31,765,79,213,",371",14,43,",326",65,170,",382",66,87,",759",26,96,68,26,10,42,82,238
Alysha Clark,SEA,F,33,763,33,31,763,86,158,",544",24,68,",353",62,90,",689",31,40,",775",13,121,39,23,6,36,79,227
Kayla McBride,SAS,G,27,756,27,25,756,131,343,",382",53,142,",373",78,201,",388",58,66,",879",5,84,44,29,3,45,33,373
Alex Bentley,CON,G,25,749,25,25,749,142,347,",409",39,116,",336",103,231,",446",44,53,",830",1,49,49,49,5,29,64,367
Monique Currie,PHO,F,34,724,34,34,724,104,253,",411",28,77,",364",76,176,",432",51,59,",864",19,109,50,31,12,45,91,287
Odyssey Sims,TUL,G,23,723,23,19,723,114,309,",369",18,87,",207",96,222,",432",122,144,",847",16,78,88,25,1,64,55,368
Sancho Lyttle,ATL,F,24,721,24,24,721,104,219,",475",1,5,",200",103,214,",481",39,53,",736",67,198,52,54,14,38,70,248
Temeka Johnson,LAS,G,34,720,34,11,720,60,186,",323",17,69,",246",43,117,",368",37,44,",841",11,81,122,23,0,51,74,174
Allie Quigley,CHI,G,32,720,32,7,720,140,325,",431",36,106,",340",104,219,",475",38,46,",826",10,56,53,13,16,45,41,354
Jenna O'Hea,SEA,F,34,710,34,14,710,64,168,",381",36,94,",383",28,74,",378",36,39,",923",5,63,82,19,10,40,54,200
Jia Perkins,SAS,G,26,710,26,26,710,124,330,",376",25,92,",272",99,238,",416",73,83,",880",20,79,45,38,8,32,45,346
Jessica Breland,CHI,F,33,706,33,30,706,99,210,",471",0,0,0,99,210,",471",24,31,",774",70,194,42,23,36,32,75,222
Epiphanny Prince,NYL,G,24,686,24,23,686,136,291,",467",26,73,",356",110,218,",505",63,70,",900",19,70,82,47,5,38,32,361
Jayne Appel-Marinelli,SAS,C,30,673,30,28,673,39,102,",382",0,4,",000",39,98,",398",22,34,",647",38,187,41,23,38,40,75,100
Damiris Dantas,TOT,C-F,32,663,32,20,663,82,182,",451",6,15,",400",76,167,",455",51,56,",911",42,139,30,18,14,35,70,221
Natasha Cloud,WAS,G,34,657,34,22,657,41,128,",320",9,38,",237",32,90,",356",32,47,",681",10,95,115,29,3,49,58,123
Renee Montgomery,TOT,G,36,643,36,7,643,83,223,",372",33,106,",311",50,117,",427",30,37,",811",7,53,99,29,4,53,60,229
Essence Carson,NYL,G,33,642,33,12,642,78,205,",380",12,49,",245",66,156,",423",34,44,",773",18,75,43,14,6,32,38,202
