===== wnba_2003_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tamika Catchings*,IND,F,34,1210,34,34,1210,221,512,",432",74,191,",387",147,321,",458",155,183,",847",82,272,114,72,35,102,122,671
Nikki Teasley,LAS,G,34,1189,34,34,1189,112,288,",389",70,165,",424",42,123,",341",98,112,",875",30,175,214,39,15,108,68,392
Katie Smith*,MIN,G,34,1185,34,34,1185,208,455,",457",78,200,",390",130,255,",510",126,143,",881",40,138,84,25,6,67,112,620
Janeth Arcain,HOU,G,34,1136,34,34,1136,151,324,",466",9,37,",243",142,287,",495",79,94,",840",24,136,67,41,1,50,64,390
Jennifer Azzi,SAS,G,34,1136,34,34,1136,85,211,",403",39,97,",402",46,114,",404",51,65,",785",10,91,111,27,9,61,98,260
Sue Bird*,SEA,G,34,1136,34,34,1136,155,368,",421",49,140,",350",106,228,",465",61,69,",884",22,113,221,48,1,110,47,420
Tamika Williams,MIN,F,34,1121,34,34,1121,129,193,",668",0,2,",000",129,191,",675",45,93,",484",92,209,44,34,10,58,78,303
Marie Ferdinand-Harris,SAS,G,34,1116,34,34,1116,139,384,",362",16,52,",308",123,332,",370",176,223,",789",28,127,90,58,6,85,87,470
Lauren Jackson*,SEA,F-C,33,1109,33,33,1109,254,526,",483",39,123,",317",215,403,",533",151,183,",825",82,307,62,38,64,69,106,698
Shannon Johnson,CON,G,34,1107,34,34,1107,138,319,",433",19,73,",260",119,246,",484",125,171,",731",39,134,196,44,3,107,77,420
Nykesha Sales,CON,F-G,34,1106,34,34,1106,194,468,",415",44,114,",386",150,354,",424",116,144,",806",27,145,92,46,13,73,107,548
Swin Cash*,DET,F,33,1097,33,33,1097,195,430,",453",12,40,",300",183,390,",469",146,214,",682",65,193,119,43,23,108,76,548
