===== wnba_2008_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Katie Smith*,DET,G,34,1152,34,34,1152,157,410,",383",76,211,",360",81,199,",407",110,124,",887",10,94,137,32,3,80,70,500
Deanna Nolan,DET,G-F,34,1144,34,34,1144,216,465,",465",43,115,",374",173,350,",494",63,73,",863",26,133,150,42,10,73,68,538
Katie Douglas,IND,G-F,33,1134,33,33,1134,170,458,",371",57,176,",324",113,282,",401",119,149,",799",41,135,106,53,11,100,54,516
Candice Dupree,CHI,F,34,1119,34,34,1119,208,455,",457",1,7,",143",207,448,",462",138,177,",780",74,267,77,35,44,98,78,555
Sue Bird*,SEA,G,33,1111,33,33,1111,172,390,",441",47,137,",343",125,253,",494",74,85,",871",14,84,169,39,3,88,61,465
Candace Parker,LAS,F-C,33,1109,33,33,1109,231,442,",523",11,26,",423",220,416,",529",137,187,",733",84,313,113,42,75,93,91,610
Becky Hammon*,SAS,G,33,1101,33,33,1101,171,438,",390",77,220,",350",94,218,",431",163,174,",937",13,91,161,43,7,104,60,582
Alana Beard,WAS,G-F,33,1092,33,33,1092,187,474,",395",51,144,",354",136,330,",412",107,146,",733",4,118,117,55,19,106,111,532
Jia Perkins,CHI,G,34,1083,34,34,1083,213,485,",439",45,123,",366",168,362,",464",106,119,",891",45,138,94,63,10,61,76,577
Diana Taurasi,PHO,G,34,1083,34,34,1083,258,579,",446",89,247,",360",169,332,",509",215,247,",870",26,172,121,46,46,83,125,820
Tina Thompson*,HOU,F,30,1074,30,29,1074,188,455,",413",56,138,",406",132,317,",416",110,128,",859",48,208,65,33,20,113,74,542
Lisa Leslie*,LAS,C,33,1059,33,33,1059,188,406,",463",4,17,",235",184,389,",473",117,177,",661",84,293,80,49,97,119,117,497
Sophia Young-Malcolm,SAS,F,33,1054,33,33,1054,207,433,",478",0,3,",000",207,430,",481",162,206,",786",52,186,75,53,17,57,86,576
Taj McWilliams-Franklin,TOT,F-C,33,1047,33,33,1047,174,344,",506",8,26,",308",166,318,",522",66,85,",776",76,238,54,47,30,84,80,422
Seimone Augustus*,MIN,G-F,31,1042,31,31,1042,233,496,",470",20,63,",317",213,433,",492",105,118,",890",28,120,83,32,12,52,46,591
DeLisha Milton-Jones,LAS,F,31,1016,31,31,1016,165,344,",480",29,81,",358",136,263,",517",72,93,",774",64,196,73,34,18,99,109,431
Shannon Johnson,HOU,G,33,1014,33,32,1014,80,211,",379",31,97,",320",49,114,",430",62,83,",747",31,107,168,52,9,79,84,253
Ebony Hoffman,IND,F,33,1013,33,33,1013,141,303,",465",26,57,",456",115,246,",467",34,41,",829",94,258,61,47,26,79,121,342
Betty Lennox,ATL,G,34,1010,34,33,1010,207,499,",415",63,176,",358",144,323,",446",118,138,",855",36,143,81,45,3,114,92,595
Cappie Pondexter,PHO,G,32,1002,32,32,1002,234,567,",413",41,131,",313",193,436,",443",170,201,",846",26,119,135,38,5,93,82,679
Ann Wauters,SAS,C,32,980,32,31,980,195,366,",533",11,31,",355",184,335,",549",70,98,",714",47,239,56,36,38,70,75,471
Monique Currie,WAS,F,34,972,34,34,972,135,337,",401",24,64,",375",111,273,",407",109,132,",826",32,141,86,30,12,87,121,403
Asjha Jones,CON,F,33,963,33,33,963,223,461,",484",5,23,",217",218,438,",498",110,139,",791",73,201,81,20,26,74,85,561
Cathrine Kraayeveld,NYL,F,34,961,34,34,961,114,298,",383",62,165,",376",52,133,",391",36,51,",706",50,209,49,28,26,55,95,326
Ivory Latta,ATL,G,34,960,34,31,960,124,343,",362",55,160,",344",69,183,",377",85,106,",802",13,72,123,45,1,61,83,388
Tammy Sutton-Brown,IND,C,33,956,33,33,956,143,289,",495",0,1,",000",143,288,",497",103,153,",673",63,208,17,20,57,69,113,389
Shameka Christon,NYL,G,31,947,31,31,947,153,385,",397",71,175,",406",82,210,",390",111,134,",828",31,94,51,35,17,61,93,488
Kelly Miller,PHO,G,34,945,34,34,945,107,262,",408",20,52,",385",87,210,",414",49,58,",845",50,148,135,22,4,84,66,283
Nicole Powell,SAC,F,34,944,34,33,944,161,437,",368",78,190,",411",83,247,",336",63,75,",840",41,150,46,40,6,62,78,463
Swin Cash*,SEA,F,31,927,31,28,927,114,293,",389",1,8,",125",113,285,",396",122,158,",772",46,167,58,21,32,69,72,351
Nicky Anosike,MIN,F-C,34,920,34,34,920,99,226,",438",0,1,",000",99,225,",440",116,166,",699",78,231,45,75,43,42,125,314
Tamika Whitmore,CON,F,34,911,34,33,911,160,392,",408",34,108,",315",126,284,",444",75,96,",781",40,161,47,20,13,68,95,429
Lindsay Whalen*,CON,G,31,908,31,31,908,141,306,",461",27,80,",338",114,226,",504",126,157,",803",33,174,166,45,1,58,87,435
Erin Perperoglou,SAS,F,34,907,34,23,907,76,178,",427",28,65,",431",48,113,",425",64,83,",771",33,111,58,36,21,51,98,244
Tan White,IND,G,33,894,33,22,894,119,325,",366",39,120,",325",80,205,",390",51,60,",850",27,101,80,43,14,85,88,328
Vickie Johnson,SAS,G-F,32,892,32,32,892,87,198,",439",11,39,",282",76,159,",478",28,36,",778",39,169,115,26,5,49,42,213
Tully Bevilaqua,IND,G,30,876,30,30,876,64,158,",405",30,89,",337",34,69,",493",17,28,",607",12,68,65,59,4,35,73,175
Ticha Penicheiro,SAC,G,33,856,33,33,856,83,222,",374",8,28,",286",75,194,",387",110,136,",809",19,99,172,67,4,87,80,284
Michelle Snow,HOU,C,34,856,34,34,856,126,237,",532",1,2,",500",125,235,",532",83,119,",697",74,230,42,18,30,62,111,336
Anna DeForge,MIN,G,34,847,34,34,847,106,271,",391",47,129,",364",59,142,",415",29,38,",763",24,103,59,27,5,31,52,288
Le'coe Willingham,PHO,F,34,834,34,27,834,139,244,",570",5,27,",185",134,217,",618",60,81,",741",86,202,29,22,7,46,116,343
Kara Lawson,SAC,G,32,829,32,32,829,139,343,",405",60,139,",432",79,204,",387",53,58,",914",16,82,67,28,2,48,41,391
Candice Wiggins,MIN,G,30,824,30,1,824,137,340,",403",37,121,",306",100,219,",457",161,197,",817",39,97,90,54,7,57,113,472
Janel McCarville,NYL,F-C,31,816,31,31,816,168,314,",535",0,8,",000",168,306,",549",89,115,",774",52,168,66,45,26,67,78,425
Loree Moore,NYL,G,29,809,29,29,809,55,161,",342",24,83,",289",31,78,",397",20,24,",833",30,112,132,44,4,77,71,154
Tanisha Wright,SEA,G,34,808,34,14,808,108,250,",432",4,24,",167",104,226,",460",48,61,",787",32,116,84,31,8,78,94,268
Nakia Sanford,WAS,C-F,34,795,34,28,795,90,199,",452",0,0,0,90,199,",452",49,123,",398",77,193,40,21,11,83,138,229
Rebekkah Brunson,SAC,F,30,779,30,30,779,135,270,",500",0,0,0,135,270,",500",57,85,",671",87,213,13,36,20,51,82,327
Armintie Herrington,CHI,G,34,763,34,11,763,84,192,",438",0,1,",000",84,191,",440",65,125,",520",58,126,59,36,12,49,79,233
Chasity Melvin,CHI,C-F,34,759,34,18,759,98,221,",443",1,3,",333",97,218,",445",81,132,",614",85,172,50,31,10,48,99,278
Alexis Hornbuckle,DET,G,34,747,34,0,747,63,178,",354",16,45,",356",47,133,",353",42,66,",636",53,138,71,79,10,49,97,184
Tamera Young,ATL,F,33,745,33,15,745,80,240,",333",13,40,",325",67,200,",335",67,97,",691",44,139,41,30,10,59,97,240
Dominique Canty,CHI,G,28,737,28,28,737,71,180,",394",1,6,",167",70,174,",402",83,124,",669",24,71,115,28,3,54,74,226
Tangela Smith,PHO,C,25,722,25,25,722,111,266,",417",16,46,",348",95,220,",432",39,45,",867",50,176,28,28,29,41,98,277
Amber Holt,CON,F,34,714,34,34,714,81,199,",407",25,76,",329",56,123,",455",35,45,",778",37,105,65,15,5,31,67,222
Coco Miller,WAS,G,34,710,34,6,710,77,217,",355",15,53,",283",62,164,",378",10,16,",625",46,85,47,26,5,58,63,179
Sheryl Swoopes*,SEA,F-G,29,706,29,25,706,75,192,",391",14,63,",222",61,129,",473",41,59,",695",26,126,60,43,9,31,44,205
Tamika Catchings*,IND,F,25,694,25,17,694,101,258,",391",38,88,",432",63,170,",371",92,115,",800",48,157,83,49,11,61,74,332
Lauren Jackson*,SEA,F-C,21,694,21,21,694,149,330,",452",28,95,",295",121,235,",515",99,106,",934",39,147,26,31,33,40,67,425
Adrian Williams-Strong,SAC,C-F,34,687,34,33,687,86,196,",439",0,0,0,86,196,",439",35,57,",614",68,167,20,19,8,54,73,207
Marie Ferdinand-Harris,LAS,G,33,680,33,25,680,91,246,",370",12,44,",273",79,202,",391",82,92,",891",30,85,43,25,4,41,71,276
Iziane Castro Marques,ATL,F-G,29,671,29,20,671,96,272,",353",29,94,",309",67,178,",376",48,59,",814",10,65,52,27,6,57,39,269
Barbara Turner,CON,G-F,34,663,34,6,663,80,192,",417",44,118,",373",36,74,",486",69,89,",775",23,108,52,12,14,40,62,273
Camille Smith,TOT,F,32,663,32,15,663,96,191,",503",9,25,",360",87,166,",524",46,72,",639",47,123,36,28,13,60,86,247
Yolanda Griffith*,SEA,C-F,30,658,30,30,658,67,145,",462",0,0,0,67,145,",462",83,128,",648",77,189,45,43,17,51,110,217
Plenette Pierson,DET,F,28,649,28,0,649,122,267,",457",0,2,",000",122,265,",460",88,117,",752",64,136,63,24,34,48,99,332
Essence Carson,NYL,G,34,646,34,30,646,92,245,",376",8,29,",276",84,216,",389",31,46,",674",25,76,31,32,8,35,49,223
Kelly Mazzante,PHO,G,34,641,34,2,641,68,205,",332",56,169,",331",12,36,",333",5,6,",833",15,66,38,24,2,18,44,197
Cheryl Ford,DET,F,24,637,24,24,637,89,185,",481",0,0,0,89,185,",481",65,116,",560",74,208,22,24,9,23,70,243
Tamecka Dixon,HOU,G,24,634,24,20,634,89,221,",403",2,13,",154",87,208,",418",36,42,",857",23,76,44,25,3,48,63,216
Jennifer Lacy,ATL,F,33,605,33,22,605,74,190,",389",4,21,",190",70,169,",414",37,55,",673",35,89,27,18,6,37,97,189
Matee Ajavon,HOU,G,34,604,34,2,604,94,283,",332",13,67,",194",81,216,",375",72,91,",791",33,60,59,30,6,54,85,273
K.B. Sharp,CHI,G,34,598,34,6,598,40,90,",444",9,28,",321",31,62,",500",19,29,",655",7,45,49,13,0,29,27,108
Brooke Wyckoff,CHI,F,34,594,34,23,594,25,73,",342",16,51,",314",9,22,",409",9,16,",563",14,79,47,14,19,35,80,75
Lindsey Harding,MIN,G,24,591,24,11,591,51,139,",367",2,25,",080",49,114,",430",50,72,",694",9,56,76,27,4,55,56,154
Kara Braxton,DET,C-F,33,590,33,10,590,107,258,",415",0,2,",000",107,256,",418",81,109,",743",48,168,27,14,24,54,84,295
Hamchetou Maiga-Ba,HOU,F,26,590,26,22,590,87,177,",492",1,2,",500",86,175,",491",27,39,",692",30,84,38,32,8,56,64,202
Charde Houston,MIN,F,33,581,33,0,581,116,236,",492",0,0,0,116,236,",492",60,81,",741",27,122,28,30,13,55,70,292
Helen Darling,SAS,G,31,580,31,14,580,33,123,",268",12,60,",200",21,63,",333",30,38,",789",13,73,54,33,3,45,67,108
Ruth Riley,SAS,C,30,580,30,3,580,63,145,",434",9,28,",321",54,117,",462",18,21,",857",14,108,31,14,41,52,101,153
Laura Harper,SAC,F-C,34,560,34,1,560,64,135,",474",0,0,0,64,135,",474",60,103,",583",68,137,12,15,20,48,80,188
Nicole Ohlde,MIN,F-C,34,559,34,34,559,73,161,",453",0,0,0,73,161,",453",51,65,",785",44,112,45,10,22,50,88,197
Barbara Farris,PHO,F-C,34,553,34,8,553,44,93,",473",0,0,0,44,93,",473",30,43,",698",38,130,8,20,4,35,87,118
Shannon Bobbitt,LAS,G,26,552,26,17,552,35,127,",276",20,71,",282",15,56,",268",16,22,",727",16,64,90,25,1,63,40,106
Crystal Kelly,SAC,F,33,551,33,4,551,62,138,",449",0,1,",000",62,137,",453",119,140,",850",47,109,15,18,5,41,61,243
Kerri Gardin,CON,F,34,540,34,15,540,47,133,",353",21,56,",375",26,77,",338",22,41,",537",38,111,41,29,7,45,56,137
Nikki Blue,WAS,G,26,537,26,22,537,33,102,",324",14,32,",438",19,70,",271",19,25,",760",15,41,73,19,2,42,59,99
Scholanda Dorrell,SAC,G,29,535,29,3,535,66,163,",405",11,30,",367",55,133,",414",55,79,",696",10,32,24,32,6,66,53,198
Noelle Quinn,MIN,G,32,533,32,25,533,47,118,",398",10,32,",313",37,86,",430",12,18,",667",12,69,81,21,2,46,33,116
Kiesha Brown,LAS,G,32,530,32,17,530,52,146,",356",23,67,",343",29,79,",367",31,34,",912",8,59,66,19,0,39,41,158
Crystal Langhorne,WAS,F-C,34,529,34,6,529,68,109,",624",0,0,0,68,109,",624",28,51,",549",53,136,15,15,6,36,54,164
