===== wnba_2001_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Katie Smith*,MIN,G,32,1234,32,32,1234,204,519,",393",85,240,",354",119,279,",427",246,275,",895",39,122,70,23,5,87,94,739
Jennifer Azzi,UTA,G,32,1205,32,32,1205,75,184,",408",38,74,",514",37,110,",336",88,96,",917",10,98,171,22,10,69,89,276
Janeth Arcain,HOU,G,32,1154,32,32,1154,217,509,",426",22,66,",333",195,443,",440",135,150,",900",49,136,94,60,3,83,82,591
Dawn Staley*,CHA,G,32,1152,32,32,1152,107,281,",381",33,89,",371",74,192,",385",51,57,",895",11,71,179,52,1,100,54,298
Tina Thompson*,HOU,F,30,1102,30,30,1102,199,528,",377",44,150,",293",155,378,",410",137,163,",840",84,233,58,29,22,87,74,579
Sheri Sam,MIA,G-F,32,1100,32,32,1100,180,417,",432",27,98,",276",153,319,",480",57,76,",750",41,137,88,55,8,87,67,444
Yolanda Griffith*,SAC,C-F,32,1077,32,31,1077,192,368,",522",0,0,0,192,368,",522",134,186,",720",162,357,54,63,37,75,114,518
Vicky Bullett,WAS,F,32,1073,32,32,1073,112,286,",392",19,64,",297",93,222,",419",35,48,",729",65,231,41,53,58,53,86,278
Natalie Williams,UTA,C,31,1064,31,31,1064,171,349,",490",0,4,",000",171,345,",496",97,133,",729",111,308,55,41,10,70,128,439
Taj McWilliams-Franklin,ORL,F-C,32,1059,32,32,1059,157,331,",474",2,10,",200",155,321,",483",87,117,",744",114,243,69,52,50,80,74,403
Elaine Powell,ORL,G,32,1055,32,32,1055,119,296,",402",39,102,",382",80,194,",412",80,106,",755",32,98,98,49,7,79,64,357
Tari Phillips,NYL,F-C,32,1049,32,32,1049,208,410,",507",0,4,",000",208,406,",512",73,125,",584",89,257,34,48,17,84,110,489
Rita Williams,IND,G,32,1042,32,29,1042,115,293,",392",41,109,",376",74,184,",402",110,132,",833",25,104,114,72,11,100,71,381
Nykesha Sales,ORL,F-G,32,1039,32,31,1039,166,379,",438",43,137,",314",123,242,",508",58,74,",784",57,172,58,70,6,72,109,433
Lisa Leslie*,LAS,C,31,1033,31,31,1033,221,467,",473",22,60,",367",199,407,",489",142,193,",736",88,298,73,34,71,98,132,606
Jackie Stiles,POR,G,32,1023,32,32,1023,156,385,",405",50,116,",431",106,269,",394",116,149,",779",24,77,55,24,3,68,75,478
Coquese Washington,HOU,G,32,1013,32,32,1013,63,177,",356",29,81,",358",34,96,",354",14,22,",636",20,118,122,69,9,57,63,169
Allison Feaster,CHA,F,32,1007,32,32,1007,126,336,",375",55,168,",327",71,168,",423",58,63,",921",55,153,46,29,10,59,86,365
Andrea Stinson,CHA,G,32,1006,32,32,1006,179,370,",484",29,65,",446",150,305,",492",63,79,",797",39,137,88,43,19,70,59,450
Lauren Jackson*,SEA,F-C,29,1001,29,29,1001,149,406,",367",40,129,",310",109,277,",394",104,143,",727",57,193,44,54,64,53,97,442
Merlakia Jones,CLE,G,30,998,30,30,998,165,377,",438",9,34,",265",156,343,",455",65,82,",793",43,164,45,29,4,53,59,404
Murriel Page,WAS,F,32,989,32,32,989,100,231,",433",4,17,",235",96,214,",449",21,36,",583",74,177,55,30,36,60,88,225
Elena Baranova,MIA,F,32,984,32,30,984,141,330,",427",30,80,",375",111,250,",444",66,71,",930",41,191,63,33,57,62,81,378
Crystal Robinson,NYL,F,32,980,32,32,980,123,267,",461",70,168,",417",53,99,",535",26,29,",897",23,92,83,32,8,28,86,342
Chamique Holdsclaw,WAS,F,29,975,29,29,975,187,467,",400",11,46,",239",176,421,",418",101,148,",682",72,256,66,44,14,94,49,486
Teresa Weatherspoon*,NYL,G,32,974,32,32,974,72,167,",431",10,26,",385",62,141,",440",53,79,",671",29,118,203,55,4,81,83,207
Margo Dydek,UTA,C,32,970,32,32,970,128,291,",440",6,15,",400",122,276,",442",87,109,",798",29,243,64,25,113,90,108,349
Debbie Black,MIA,G,32,946,32,32,946,70,187,",374",3,20,",150",67,167,",401",37,48,",771",43,126,123,82,2,51,69,180
Vickie Johnson,NYL,G-F,32,939,32,32,939,135,326,",414",30,82,",366",105,244,",430",53,70,",757",23,107,87,35,4,52,62,353
DeLisha Milton-Jones,LAS,F,32,938,32,27,938,134,296,",453",12,35,",343",122,261,",467",50,63,",794",71,169,68,49,29,58,101,330
Ukari Figgs,LAS,G,32,930,32,29,930,76,179,",425",54,117,",462",22,62,",355",51,63,",810",14,100,126,43,4,55,42,257
Tamecka Dixon,LAS,G,29,925,29,29,925,133,319,",417",6,34,",176",127,285,",446",68,86,",791",19,85,114,27,2,71,52,340
Sylvia Crawley,POR,F,32,921,32,32,921,120,267,",449",0,1,",000",120,266,",451",59,77,",766",63,203,54,19,26,61,85,299
Lisa Harrison,PHO,F,32,915,32,32,915,96,223,",430",3,9,",333",93,214,",435",51,59,",864",39,139,52,39,1,49,58,246
Astou Ndiaye-Diatta,DET,F,32,913,32,31,913,156,341,",457",5,15,",333",151,326,",463",59,76,",776",60,171,49,22,28,73,82,376
Tangela Smith,SAC,C,32,912,32,32,912,148,352,",420",0,2,",000",148,350,",423",62,85,",729",48,179,41,34,55,66,106,358
Sonja Henning,SEA,G,32,902,32,28,902,41,129,",318",8,44,",182",33,85,",388",18,35,",514",14,71,93,52,6,43,62,108
