===== wnba_2005_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Sheryl Swoopes*,HOU,F-G,33,1225,33,33,1225,217,486,",447",27,75,",360",190,411,",462",153,180,",850",27,119,141,66,26,72,54,614
Deanna Nolan,DET,G-F,33,1213,33,33,1213,184,462,",398",28,90,",311",156,372,",419",128,160,",800",31,156,121,55,14,100,64,524
Chamique Holdsclaw,LAS,F,33,1183,33,33,1183,216,450,",480",3,13,",231",213,437,",487",126,160,",788",86,223,104,38,16,99,94,561
Lauren Jackson*,SEA,F-C,34,1176,34,34,1176,206,450,",458",34,118,",288",172,332,",518",151,181,",834",96,313,57,36,67,59,100,597
Tamika Catchings*,IND,F,34,1174,34,34,1174,157,410,",383",35,123,",285",122,287,",425",152,193,",788",69,264,143,90,16,91,96,501
Becky Hammon*,NYL,G,34,1165,34,34,1165,145,336,",432",65,178,",365",80,158,",506",118,131,",901",20,114,146,60,2,107,77,473
Katie Smith*,TOT,G,36,1160,36,32,1160,140,368,",380",53,159,",333",87,209,",416",97,124,",782",23,83,87,30,5,71,73,430
Anna DeForge,PHO,G,33,1131,33,33,1131,142,364,",390",47,144,",326",95,220,",432",102,120,",850",31,114,80,41,7,81,66,433
Shannon Johnson,SAS,G,34,1104,34,33,1104,88,241,",365",28,90,",311",60,151,",397",113,136,",831",17,91,158,46,5,113,78,317
Lisa Leslie*,LAS,C,34,1096,34,34,1096,204,464,",440",7,34,",206",197,430,",458",102,174,",586",70,248,87,67,71,100,122,517
Diana Taurasi,PHO,G,33,1089,33,33,1089,175,427,",410",56,179,",313",119,248,",480",121,151,",801",22,138,150,38,28,112,111,527
Taj McWilliams-Franklin,CON,F-C,34,1083,34,34,1083,180,364,",495",4,18,",222",176,346,",509",107,136,",787",78,248,65,37,25,59,80,471
Janeth Arcain,HOU,G,34,1079,34,34,1079,128,304,",421",3,16,",188",125,288,",434",83,94,",883",20,93,53,55,6,56,85,342
Sheri Sam,CHA,G-F,34,1075,34,33,1075,146,377,",387",18,56,",321",128,321,",399",77,108,",713",53,145,91,44,2,100,87,387
Nykesha Sales,CON,F-G,34,1074,34,34,1074,201,482,",417",49,116,",422",152,366,",415",81,108,",750",36,124,74,61,10,64,96,532
DeLisha Milton-Jones,WAS,F,33,1069,33,30,1069,138,331,",417",39,119,",328",99,212,",467",79,99,",798",45,172,58,57,18,75,117,394
Tangela Smith,CHA,C,31,1063,31,31,1063,169,405,",417",0,7,",000",169,398,",425",83,104,",798",45,162,41,51,32,84,105,421
Kelly Miller,IND,G,34,1057,34,34,1057,122,278,",439",37,114,",325",85,164,",518",67,79,",848",26,86,81,40,2,53,81,348
Chasity Melvin,WAS,C-F,34,1050,34,34,1050,150,305,",492",4,16,",250",146,289,",505",93,138,",674",82,199,25,31,14,61,113,397
Lindsay Whalen*,CON,G,34,1047,34,34,1047,135,290,",466",16,46,",348",119,244,",488",125,156,",801",29,128,172,42,2,89,90,411
Nicole Ohlde,MIN,F-C,34,1038,34,34,1038,133,292,",455",0,2,",000",133,290,",459",116,142,",817",63,194,78,21,22,84,92,382
Charlotte Smith,WAS,F,34,1036,34,34,1036,87,190,",458",42,100,",420",45,90,",500",30,46,",652",34,128,71,22,11,46,93,246
Vickie Johnson,NYL,G-F,34,1023,34,34,1023,129,272,",474",30,84,",357",99,188,",527",65,84,",774",37,118,92,23,2,44,56,353
Sue Bird*,SEA,G,30,1020,30,30,1020,130,294,",442",45,103,",437",85,191,",445",59,69,",855",21,72,176,29,6,87,46,364
Alana Beard,WAS,G-F,30,1015,30,30,1015,155,408,",380",32,101,",317",123,307,",401",80,105,",762",25,130,90,45,9,63,87,422
Marie Ferdinand-Harris,SAS,G,31,999,31,31,999,132,358,",369",20,65,",308",112,293,",382",104,134,",776",40,116,68,46,5,70,74,388
