===== wnba_1999_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Shannon Johnson,ORL,G,32,1147,32,32,1147,151,338,",447",40,110,",364",111,228,",487",105,153,",686",44,150,141,54,12,121,79,447
Ticha Penicheiro,SAC,G,32,1120,32,32,1120,71,222,",320",6,38,",158",65,184,",353",87,131,",664",29,155,226,67,5,135,87,235
Cynthia Cooper*,HOU,G,31,1101,31,31,1101,212,458,",463",58,173,",335",154,285,",540",204,229,",891",17,87,162,43,11,104,61,686
Sheryl Swoopes*,HOU,F-G,32,1100,32,32,1100,226,489,",462",33,98,",337",193,391,",494",100,122,",820",48,202,127,76,46,83,57,585
Jennifer Gillom,PHO,F-C,32,1095,32,32,1095,163,428,",381",18,72,",250",145,356,",407",141,177,",797",53,184,54,37,7,87,105,485
Sheri Sam,ORL,G-F,32,1088,32,32,1088,134,345,",388",41,125,",328",93,220,",423",55,80,",688",39,146,77,41,9,64,112,364
Teresa Weatherspoon*,NYL,G,32,1086,32,32,1086,80,190,",421",31,82,",378",49,108,",454",38,56,",679",22,104,205,78,3,80,91,229
Vickie Johnson,NYL,G-F,32,1082,32,32,1082,165,394,",419",25,71,",352",140,323,",433",72,86,",837",43,142,106,44,1,65,77,427
Tina Thompson*,HOU,F,32,1074,32,32,1074,142,339,",419",39,111,",351",103,228,",452",68,87,",782",67,206,28,31,31,72,95,391
Adrienne Goodson,UTA,F,32,1068,32,31,1068,182,427,",426",13,53,",245",169,374,",452",99,129,",767",71,138,87,27,8,98,76,476
Dawn Staley*,CHA,G,32,1065,32,32,1065,125,301,",415",33,104,",317",92,197,",467",85,91,",934",12,72,177,38,3,90,71,368
Chamique Holdsclaw,WAS,F,31,1061,31,30,1061,202,462,",437",5,29,",172",197,433,",455",116,150,",773",74,246,74,37,27,108,67,525
Nikki McCray,WAS,G,32,1043,32,32,1043,193,455,",424",46,153,",301",147,302,",487",129,160,",806",35,86,78,34,1,107,86,561
Taj McWilliams-Franklin,ORL,F-C,32,1042,32,32,1042,153,319,",480",20,45,",444",133,274,",485",94,141,",667",81,239,51,57,38,80,96,420
