===== wnba_1997_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Chantel Tremitiere,SAC,G,28,1051,28,28,1051,69,196,",352",7,37,",189",62,159,",390",67,90,",744",25,114,135,54,1,122,80,212
Andrea Stinson,CHA,G,28,1011,28,28,1011,177,396,",447",25,77,",325",152,319,",476",60,89,",674",48,155,124,43,21,99,55,439
Cynthia Cooper*,HOU,G,28,982,28,28,982,191,406,",470",67,162,",414",124,244,",508",172,199,",864",33,111,131,59,6,109,68,621
Bridgette Gordon,SAC,F,28,981,28,28,981,135,312,",433",11,40,",275",124,272,",456",84,107,",785",67,135,78,39,9,83,58,365
Michele Timms*,PHO,G,27,966,27,27,966,99,295,",336",49,142,",345",50,153,",327",79,104,",760",23,99,135,71,3,80,95,326
Eva Nemcova,CLE,F,28,944,28,28,944,138,292,",473",37,85,",435",101,207,",488",71,83,",855",23,110,67,39,8,78,53,384
Rebecca Lobo*,NYL,C,28,939,28,28,939,133,354,",376",18,63,",286",115,291,",395",64,105,",610",62,203,53,26,51,88,73,348
Wendy Palmer,UTA,F,28,936,28,28,936,157,420,",374",12,48,",250",145,372,",390",117,173,",676",76,225,48,47,6,71,86,443
Teresa Weatherspoon*,NYL,G,28,924,28,28,924,64,137,",467",3,35,",086",61,102,",598",65,100,",650",25,116,173,85,2,94,72,196
Elena Baranova,UTA,F,28,913,28,27,913,129,331,",390",40,106,",377",89,225,",396",43,62,",694",55,206,62,43,63,82,82,341
Penny Toler,LAS,G,28,907,28,28,907,144,338,",426",7,38,",184",137,300,",457",73,87,",839",25,94,143,36,3,107,66,368
Lisa Leslie*,LAS,C,28,902,28,28,902,160,371,",431",12,46,",261",148,325,",455",113,189,",598",63,266,74,39,59,109,99,445
Tina Thompson*,HOU,F,28,885,28,28,885,133,318,",418",37,100,",370",96,218,",440",67,80,",838",67,184,32,21,28,62,107,370
Vicky Bullett,CHA,F,28,875,28,28,875,145,324,",448",7,23,",304",138,301,",458",62,80,",775",66,178,65,54,55,68,84,359
Jennifer Gillom,PHO,F-C,28,874,28,28,874,163,376,",434",20,64,",313",143,312,",458",94,121,",777",44,150,22,36,15,58,93,440
Sophia Witherspoon,NYL,G,28,867,28,28,867,140,345,",406",44,126,",349",96,219,",438",83,111,",748",30,84,64,49,7,77,62,407
Bridget Pettis,PHO,G,28,842,28,28,842,107,320,",334",41,134,",306",66,186,",355",97,108,",898",36,107,78,49,11,82,57,352
Tammi Reiss,UTA,G,28,831,28,26,831,72,231,",312",30,101,",297",42,130,",323",42,55,",764",29,77,87,23,2,61,57,216
Janice Braxton,CLE,F,25,822,25,24,822,88,211,",417",5,10,",500",83,201,",413",106,138,",768",38,189,49,36,28,53,64,287
Ruthie Bolton,SAC,G,23,813,23,23,813,164,408,",402",66,192,",344",98,216,",454",53,69,",768",31,134,59,54,1,58,71,447
Isabelle Fijalkowski,CLE,F-C,28,803,28,28,803,125,246,",508",1,4,",250",124,242,",512",81,103,",786",62,157,68,17,17,73,129,332
Vickie Johnson,NYL,G-F,26,789,26,25,789,109,270,",404",4,21,",190",105,249,",422",27,35,",771",46,110,66,19,4,49,52,249
Janeth Arcain,HOU,G,28,784,28,27,784,110,250,",440",9,33,",273",101,217,",465",76,85,",894",41,110,45,43,4,67,56,305
Umeki Webb,PHO,G-F,28,775,28,17,775,47,158,",297",1,15,",067",46,143,",322",46,67,",687",42,117,68,68,8,55,92,141
Toni Foster,PHO,F-C,28,736,28,28,736,94,201,",468",1,6,",167",93,195,",477",57,81,",704",64,170,27,53,21,52,77,246
Tamecka Dixon,LAS,G,27,715,27,21,715,115,252,",456",22,52,",423",93,200,",465",68,88,",773",22,81,55,49,5,58,76,320
Lynette Woodard*,CLE,G,28,712,28,27,712,87,217,",401",0,7,",000",87,210,",414",43,64,",672",37,115,67,45,10,69,44,217
Rhonda Mapp,CHA,C,28,710,28,23,710,120,244,",492",4,8,",500",116,236,",492",82,106,",774",53,154,64,21,12,68,104,326
Kim Perrot,HOU,G,28,692,28,24,692,59,162,",364",28,99,",283",31,63,",492",15,37,",405",18,75,88,69,2,65,53,161
Pamela McGee,SAC,F-C,27,691,27,23,691,102,222,",459",2,7,",286",100,215,",465",79,112,",705",54,120,20,27,14,73,113,285
Lady Grooms,UTA,F,28,691,28,24,691,58,167,",347",1,10,",100",57,157,",363",36,55,",655",33,84,67,23,2,79,39,153
Wanda Guyton,HOU,C,25,668,25,25,668,57,122,",467",0,0,0,57,122,",467",38,68,",559",76,136,12,26,8,43,83,152
Kym Hampton,NYL,C,28,663,28,28,663,100,211,",474",0,1,",000",100,210,",476",73,114,",640",52,163,38,39,19,49,68,273
Andrea Congreaves,CHA,F-C,28,658,28,16,658,63,126,",500",18,44,",409",45,82,",549",43,56,",768",40,133,41,16,5,31,52,187
Latasha Byears,SAC,G-F,28,656,28,19,656,96,209,",459",1,5,",200",95,204,",466",51,69,",739",87,193,48,39,8,67,98,244
Jamila Wideman,LAS,G,28,633,28,14,633,25,106,",236",7,36,",194",18,70,",257",27,34,",794",16,57,103,24,1,51,44,84
Nicole Levesque,CHA,G,27,622,27,21,622,36,98,",367",23,66,",348",13,32,",406",14,15,",933",5,47,75,21,3,71,47,109
Michelle Edwards,CLE,G,20,622,20,14,622,76,170,",447",6,25,",240",70,145,",483",45,86,",523",13,70,89,35,3,77,40,203
Katrina Colleton,LAS,F,28,613,28,14,613,55,126,",437",9,25,",360",46,101,",455",17,30,",567",25,60,45,35,9,35,46,136
Kim Williams,UTA,G,28,608,28,10,608,88,229,",384",9,34,",265",79,195,",405",41,53,",774",34,81,60,38,7,57,83,226
Merlakia Jones,CLE,G,28,589,28,1,589,92,229,",402",5,12,",417",87,217,",401",40,56,",714",30,80,25,23,3,54,55,229
