===== wnba_2004_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Anna DeForge,PHO,G,34,1152,34,34,1152,165,396,",417",70,181,",387",95,215,",442",88,102,",863",23,123,107,51,8,68,51,488
Lisa Leslie*,LAS,C,34,1150,34,34,1150,223,451,",494",6,22,",273",217,429,",506",146,205,",712",60,336,88,50,98,110,130,598
Tamika Catchings*,IND,F,34,1149,34,33,1149,180,468,",385",56,167,",335",124,301,",412",152,178,",854",79,249,115,67,38,77,90,568
Dawn Staley*,CHA,G,34,1143,34,34,1143,106,246,",431",24,59,",407",82,187,",439",66,87,",759",12,58,171,43,2,74,83,302
Deanna Nolan,DET,G-F,34,1138,34,34,1138,166,435,",382",33,114,",289",133,321,",414",99,124,",798",29,134,112,66,12,90,75,464
Sue Bird*,SEA,G,34,1136,34,34,1136,151,326,",463",64,146,",438",87,180,",483",73,85,",859",22,106,184,51,5,87,48,439
Taj McWilliams-Franklin,CON,F-C,34,1133,34,34,1133,168,352,",477",0,12,",000",168,340,",494",77,128,",602",83,244,63,48,45,73,96,413
Becky Hammon*,NYL,G,34,1130,34,34,1130,153,354,",432",57,170,",335",96,184,",522",97,116,",836",17,118,150,58,2,118,73,460
Diana Taurasi,PHO,G,34,1130,34,34,1130,209,503,",416",62,188,",330",147,315,",467",98,129,",760",28,149,132,43,25,90,117,578
Katie Douglas,CON,G-F,34,1120,34,34,1120,125,321,",389",53,153,",346",72,168,",429",61,77,",792",33,132,90,50,13,52,73,364
Vickie Johnson,NYL,G-F,34,1119,34,34,1119,121,293,",413",17,60,",283",104,233,",446",62,70,",886",37,121,124,25,4,71,75,321
Swin Cash*,DET,F,32,1105,32,32,1105,180,384,",469",8,23,",348",172,361,",476",158,219,",721",78,208,135,44,29,81,84,526
Nikki Teasley,LAS,G,34,1105,34,34,1105,108,278,",388",68,165,",412",40,113,",354",52,68,",765",29,116,207,42,7,103,89,336
Kelly Miller,IND,G,34,1096,34,34,1096,126,326,",387",46,112,",411",80,214,",374",50,57,",877",28,108,106,37,5,74,81,348
Nykesha Sales,CON,F-G,34,1096,34,34,1096,210,486,",432",41,129,",318",169,357,",473",56,77,",727",33,135,97,75,8,76,98,517
Penny Taylor,PHO,F,33,1076,33,33,1076,150,310,",484",41,96,",427",109,214,",509",93,108,",861",51,160,82,52,14,81,108,434
Lauren Jackson*,SEA,F-C,31,1070,31,31,1070,220,460,",478",52,115,",452",168,345,",487",142,175,",811",64,207,51,31,62,67,93,634
Sheryl Swoopes*,HOU,F-G,31,1070,31,31,1070,181,429,",422",20,65,",308",161,364,",442",77,90,",856",38,153,91,47,16,59,56,459
Adrienne Goodson,SAS,F,34,1068,34,34,1068,142,317,",448",4,16,",250",138,301,",458",84,102,",824",89,235,60,28,2,67,77,372
Allison Feaster,CHA,F,33,1052,33,32,1052,132,332,",398",45,143,",315",87,189,",460",79,91,",868",22,84,60,27,6,68,61,388
Elena Baranova,NYL,F,34,1048,34,33,1048,146,315,",463",53,115,",461",93,200,",465",49,53,",925",33,246,67,37,58,80,88,394
Ruth Riley,DET,C,34,1037,34,34,1037,153,343,",446",1,2,",500",152,341,",446",71,87,",816",68,199,50,31,53,82,121,378
Yolanda Griffith*,SAC,C-F,34,1031,34,34,1031,177,341,",519",0,1,",000",177,340,",521",140,186,",753",122,246,42,75,41,59,99,494
Alana Beard,WAS,G-F,34,1025,34,34,1025,159,380,",418",21,56,",375",138,324,",426",107,149,",718",28,143,91,69,34,80,98,446
Nicole Ohlde,MIN,F-C,34,1018,34,34,1018,136,308,",442",0,2,",000",136,306,",444",125,177,",706",83,194,60,16,45,74,103,397
Sheri Sam,SEA,G-F,34,1018,34,32,1018,117,284,",412",11,42,",262",106,242,",438",65,76,",855",42,139,82,53,6,63,108,310
Tamika Williams,MIN,F,34,978,34,33,978,102,189,",540",1,4,",250",101,185,",546",49,87,",563",82,205,38,39,5,66,65,254
Charlotte Smith,CHA,F,34,977,34,34,977,99,206,",481",29,58,",500",70,148,",473",53,73,",726",50,139,40,18,13,55,109,280
Ticha Penicheiro,SAC,G,33,970,33,32,970,63,178,",354",23,68,",338",40,110,",364",50,70,",714",14,102,163,64,2,72,64,199
Tammy Sutton-Brown,CHA,C,34,970,34,34,970,106,224,",473",0,0,0,106,224,",473",113,162,",698",63,211,15,31,71,71,111,325
Mwadi Mabika,LAS,G,31,965,31,31,965,159,383,",415",38,94,",404",121,289,",419",89,108,",824",39,122,75,36,3,48,88,445
LaToya Thomas,SAS,F,31,964,31,30,964,171,350,",489",3,8,",375",168,342,",491",95,113,",841",48,138,42,25,11,56,99,440
Natalie Williams,IND,C,34,956,34,34,956,133,293,",454",0,4,",000",133,289,",460",83,119,",697",93,235,62,40,23,65,122,349
Shannon Johnson,SAS,G,31,954,31,30,954,89,234,",380",27,76,",355",62,158,",392",82,107,",766",14,82,136,48,4,99,69,287
Lindsay Whalen*,CON,G,31,946,31,30,946,83,183,",454",20,57,",351",63,126,",500",89,122,",730",21,90,148,39,0,94,72,275
Tina Thompson*,HOU,F,26,943,26,26,943,180,448,",402",44,108,",407",136,340,",400",116,147,",789",44,157,48,22,23,69,68,520
Betty Lennox,SEA,G,32,920,32,32,920,139,330,",421",22,83,",265",117,247,",474",58,68,",853",28,159,79,34,3,77,89,358
Tamecka Dixon,LAS,G,32,913,32,21,913,119,269,",442",5,11,",455",114,258,",442",68,87,",782",32,110,112,36,1,71,86,311
Cheryl Ford,DET,F,31,912,31,31,912,118,287,",411",0,0,0,118,287,",411",93,158,",589",104,297,34,41,25,54,118,329
Tangela Smith,SAC,C,34,908,34,33,908,165,401,",411",5,29,",172",160,372,",430",45,56,",804",46,138,50,38,25,53,86,380
Michelle Snow,HOU,C,31,893,31,31,893,104,229,",454",0,0,0,104,229,",454",68,113,",602",62,239,31,28,35,71,89,276
Crystal Robinson,NYL,F,28,890,28,27,890,122,279,",437",55,144,",382",67,135,",496",40,43,",930",19,83,58,24,8,33,77,339
DeMya Walker,SAC,F,34,884,34,34,884,111,267,",416",0,10,",000",111,257,",432",62,103,",602",72,143,86,26,13,86,109,284
Kamila Vodichkova,SEA,F-C,34,873,34,34,873,94,241,",390",1,2,",500",93,239,",389",84,108,",778",65,168,55,32,12,73,110,273
Kara Lawson,SAC,G,34,827,34,10,827,103,245,",420",51,134,",381",52,111,",468",37,44,",841",12,77,68,21,8,53,41,294
Chasity Melvin,WAS,C-F,34,825,34,16,825,104,256,",406",0,0,0,104,256,",406",85,111,",766",63,131,37,15,18,52,89,293
Murriel Page,WAS,F,33,809,33,19,809,81,175,",463",0,3,",000",81,172,",471",22,40,",550",40,140,36,25,16,30,85,184
Deanna Jackson,IND,F,34,804,34,32,804,92,251,",367",0,12,",000",92,239,",385",52,73,",712",57,113,53,29,6,52,82,236
Plenette Pierson,PHO,F,31,803,31,25,803,112,253,",443",0,3,",000",112,250,",448",66,109,",606",46,131,26,26,17,49,102,290
Chamique Holdsclaw,WAS,F,23,801,23,22,801,162,403,",402",7,17,",412",155,386,",402",106,132,",803",51,191,56,39,18,57,67,437
Katie Smith*,MIN,G,23,800,23,23,800,137,318,",431",60,139,",432",77,179,",430",98,109,",899",17,84,52,23,6,51,63,432
Sheila Lambert,HOU,G,34,788,34,25,788,75,177,",424",7,27,",259",68,150,",453",40,51,",784",19,68,88,26,4,82,46,197
Wendy Palmer,CON,F,33,786,33,33,786,108,253,",427",13,41,",317",95,212,",448",68,85,",800",47,182,30,23,5,40,77,297
Stacey Dales,WAS,F,31,782,31,26,782,87,228,",382",40,119,",336",47,109,",431",40,55,",727",17,64,78,20,3,37,61,254
Andrea Stinson,CHA,G,34,777,34,34,777,79,191,",414",11,37,",297",68,154,",442",34,44,",773",25,119,49,27,7,41,60,203
Dominique Canty,HOU,G,32,770,32,12,770,63,150,",420",0,2,",000",63,148,",426",51,72,",708",40,84,64,32,1,45,61,177
Elaine Powell,DET,G,30,760,30,26,760,52,138,",377",0,0,0,52,138,",377",29,50,",580",31,84,134,36,8,61,67,133
Helen Darling,MIN,G,33,707,33,22,707,43,130,",331",12,55,",218",31,75,",413",42,63,",667",11,67,115,30,4,74,83,140
Kedra Holland-Corn,HOU,G,27,703,27,21,703,59,159,",371",31,97,",320",28,62,",452",28,41,",683",19,66,53,40,3,46,51,177
